,step,charge,error
0,5150,22,7
1,5200,40,6
2,5250,66,8
3,5300,90,8
4,5350,123,7
5,5400,158,10
6,5450,206,10
7,5500,276,12
8,5550,321,13
9,5600,377,13
10,5650,455,15
11,5700,533,26
12,5750,614,27
13,5800,682,30
14,5850,758,28
15,5900,847,29
16,5950,906,29
17,6000,973,30
18,6050,1059,33
19,6100,1122,33
20,6150,1189,32
21,6200,1269,33
22,6250,1331,35
23,6300,1408,34
24,6350,1481,36
25,6400,1554,36
26,6450,1626,37
27,6500,1708,38
28,6550,1768,37
29,6600,1827,37
30,6650,1852,37
31,6700,1863,38
32,6750,1868,36
33,6800,1889,37
34,6850,1881,36
